Company,Record_ID,Region,Country,City,Warehouse_ID,Warehouse_Name,SKU_ID,Product_Name,Product_Category,ABC_Classification,Supplier_Name,Unit_Cost_USD,Unit_Price_USD,Lead_Time_Days,Week_Start_Date,Month_Name,Quarter,Week_Number,Beginning_Inventory_Units,Units_Received,Demand_Forecast_Units,Actual_Demand_Units,Units_Sold,Backorder_Units,Ending_Inventory_Units,Safety_Stock_Units,Reorder_Point_Units,Max_Stock_Level_Units,Stockout_Flag,Stockout_Days,Fill_Rate_Percent,Avg_Inventory_Units,Inventory_Value_USD,Inventory_Turnover_Ratio_Annualized,Days_of_Supply,Carrying_Cost_Percent_Annual,Weekly_Carrying_Cost_USD
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV401984,Europe,Netherlands,Rotterdam,WH002,Rotterdam Regional DC,SKU1077,Rain Jacket,Apparel,A,Meridian Trading Co.,5.45,12.28,21,2026-02-23,Feb-2026,Q1,8,1515.0,0,442.9,354.0,354.0,0.0,1161.0,183,1511,2191,No,0,100.0,1338.0,6327.45,13.76,23.0,0.182,25.52
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV402010,Europe,Netherlands,Rotterdam,WH002,Rotterdam Regional DC,SKU1078,Sunscreen SPF50,Health & Beauty,C,Global Source Partners,54.33,137.47,30,2026-02-23,Feb-2026,Q1,8,106.0,0,19.1,20.0,20.0,0.0,86.0,16,97,138,No,0,100.0,96.0,4672.38,10.83,30.1,0.243,24.37
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV402036,Europe,Netherlands,Rotterdam,WH002,Rotterdam Regional DC,SKU1079,Storage Containers (Set),Home & Kitchen,A,BlueOcean Distributors,116.99,222.17,21,2026-02-23,Feb-2026,Q1,8,1442.0,0,326.4,402.0,402.0,0.0,1040.0,187,1166,1785,No,0,100.0,1241.0,121669.6,16.84,18.1,0.238,664.5
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV402062,Europe,Netherlands,Rotterdam,WH002,Rotterdam Regional DC,SKU1080,Multivitamin Bottle,Health & Beauty,B,Global Source Partners,138.06,292.4,7,2026-02-23,Feb-2026,Q1,8,223.0,0,82.8,84.0,84.0,0.0,139.0,52,134,291,No,0,100.0,181.0,19190.34,24.13,11.6,0.17,81.69
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV402088,Europe,Netherlands,Rotterdam,WH002,Rotterdam Regional DC,SKU1081,Vitamin C Serum,Health & Beauty,C,BlueOcean Distributors,70.06,160.77,10,2026-02-23,Feb-2026,Q1,8,84.0,0,23.5,20.0,20.0,0.0,64.0,16,49,109,No,0,100.0,74.0,4483.84,14.05,22.4,0.23,22.93
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV402114,Europe,Netherlands,Rotterdam,WH002,Rotterdam Regional DC,SKU1082,Denim Jacket,Apparel,B,Summit Vendor Group,142.5,349.11,7,2026-02-23,Feb-2026,Q1,8,121.0,160,75.5,80.0,80.0,0.0,201.0,56,131,304,No,0,100.0,161.0,28642.5,25.84,17.6,0.213,93.98
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV402140,Europe,Netherlands,Rotterdam,WH002,Rotterdam Regional DC,SKU1083,Webcam,Electronics,A,BlueOcean Distributors,111.72,256.18,30,2026-02-23,Feb-2026,Q1,8,0.0,2616,415.2,325.0,325.0,0.0,2291.0,178,1957,2667,No,0,100.0,1145.5,255950.52,14.75,49.3,0.165,406.08
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV402166,Europe,Netherlands,Rotterdam,WH002,Rotterdam Regional DC,SKU1084,Deodorant,Health & Beauty,C,Global Source Partners,56.56,142.57,7,2026-02-23,Feb-2026,Q1,8,17.0,13,9.3,10.0,10.0,0.0,20.0,8,17,32,No,0,100.0,18.5,1131.2,28.11,14.0,0.222,4.47
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV402192,Europe,Netherlands,Rotterdam,WH002,Rotterdam Regional DC,SKU1085,Sneakers,Apparel,C,Apex Wholesale,147.88,347.45,7,2026-02-23,Feb-2026,Q1,8,53.0,73,40.8,48.0,48.0,0.0,78.0,26,66,132,No,0,100.0,65.5,11534.64,38.11,11.4,0.178,33.16
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV402218,Europe,Netherlands,Rotterdam,WH002,Rotterdam Regional DC,SKU1086,Baseball Cap,Apparel,B,Union Supply Chain Ltd.,78.09,150.84,21,2026-02-23,Feb-2026,Q1,8,0.0,0,97.9,114.0,0.0,114.0,0.0,74,367,573,Yes,3,0.0,0.0,0.0,0.0,0.0,0.273,0.0
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV402244,Europe,Netherlands,Rotterdam,WH002,Rotterdam Regional DC,SKU1087,Rice 5kg,Grocery/FMCG,B,Apex Wholesale,65.88,109.8,7,2026-02-23,Feb-2026,Q1,8,142.0,238,109.8,123.0,123.0,0.0,257.0,108,217,382,No,0,100.0,199.5,16931.16,32.06,14.6,0.176,44.48
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV402270,Europe,Netherlands,Rotterdam,WH002,Rotterdam Regional DC,SKU1088,Wall Clock,Home & Kitchen,C,Pioneer Import Export,89.28,144.01,14,2026-02-23,Feb-2026,Q1,8,0.0,51,13.4,12.0,12.0,0.0,39.0,7,33,56,No,0,100.0,19.5,3481.92,32.0,22.8,0.195,6.53
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV402296,Europe,Netherlands,Rotterdam,WH002,Rotterdam Regional DC,SKU1089,Candle Set,Home & Kitchen,B,Apex Wholesale,53.7,129.44,7,2026-02-23,Feb-2026,Q1,8,274.0,0,97.0,97.0,97.0,0.0,177.0,56,152,386,No,0,100.0,225.5,9504.9,22.37,12.8,0.195,45.41
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV402322,Europe,Netherlands,Rotterdam,WH002,Rotterdam Regional DC,SKU1090,Cotton Socks (3-pack),Apparel,C,BlueOcean Distributors,114.58,198.73,14,2026-02-23,Feb-2026,Q1,8,53.0,175,42.7,40.0,40.0,0.0,188.0,40,125,240,No,0,100.0,120.5,21541.04,17.26,32.9,0.181,48.06
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV402348,Europe,Netherlands,Rotterdam,WH002,Rotterdam Regional DC,SKU1091,Peanut Butter Jar,Grocery/FMCG,C,Pioneer Import Export,45.73,84.67,7,2026-02-23,Feb-2026,Q1,8,23.0,34,14.5,15.0,15.0,0.0,42.0,11,25,59,No,0,100.0,32.5,1920.66,24.0,19.6,0.271,7.75
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV402374,Europe,Netherlands,Rotterdam,WH002,Rotterdam Regional DC,SKU1092,Sports Bra,Apparel,B,BlueOcean Distributors,104.32,222.8,10,2026-02-23,Feb-2026,Q1,8,351.0,0,101.0,81.0,81.0,0.0,270.0,43,187,483,No,0,100.0,310.5,28166.4,13.57,23.3,0.248,154.48
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV402400,Europe,Netherlands,Rotterdam,WH002,Rotterdam Regional DC,SKU1093,Cereal Box,Grocery/FMCG,C,Pioneer Import Export,67.74,167.88,30,2026-02-23,Feb-2026,Q1,8,165.0,182,43.4,49.0,49.0,0.0,298.0,43,228,354,No,0,100.0,231.5,20186.52,11.01,42.6,0.189,57.0
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV402426,Europe,Netherlands,Rotterdam,WH002,Rotterdam Regional DC,SKU1094,Tablet Stylus,Electronics,C,Vertex Sourcing Inc.,120.46,198.31,10,2026-02-23,Feb-2026,Q1,8,52.0,0,24.6,21.0,21.0,0.0,31.0,10,45,105,No,0,100.0,41.5,3734.26,26.31,10.3,0.225,21.63
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV402452,Europe,Netherlands,Rotterdam,WH002,Rotterdam Regional DC,SKU1095,Smart Plug,Electronics,C,Union Supply Chain Ltd.,97.21,157.21,10,2026-02-23,Feb-2026,Q1,8,52.0,0,18.9,21.0,21.0,0.0,31.0,17,43,81,No,0,100.0,41.5,3013.51,26.31,10.3,0.262,20.33
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV402478,Europe,Netherlands,Rotterdam,WH002,Rotterdam Regional DC,SKU1096,Vacuum Flask,Home & Kitchen,C,Union Supply Chain Ltd.,128.8,249.37,7,2026-02-23,Feb-2026,Q1,8,30.0,0,18.5,19.0,19.0,0.0,11.0,9,27,71,No,0,100.0,20.5,1416.8,48.2,4.1,0.166,8.43
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV402504,Europe,Netherlands,Rotterdam,WH002,Rotterdam Regional DC,SKU1097,Power Bank,Electronics,A,Vertex Sourcing Inc.,46.85,78.6,10,2026-02-23,Feb-2026,Q1,8,397.0,0,178.0,180.0,180.0,0.0,217.0,139,393,789,No,0,100.0,307.0,10166.45,30.49,8.4,0.25,69.15
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV402530,Europe,Netherlands,Rotterdam,WH002,Rotterdam Regional DC,SKU1098,Trail Mix,Grocery/FMCG,C,Apex Wholesale,4.69,8.19,10,2026-02-23,Feb-2026,Q1,8,30.0,31,15.2,12.0,12.0,0.0,49.0,11,32,62,No,0,100.0,39.5,229.81,15.8,28.6,0.28,1.0
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV402556,Europe,Netherlands,Rotterdam,WH002,Rotterdam Regional DC,SKU1099,Face Mask (Pack),Health & Beauty,A,Meridian Trading Co.,94.47,234.07,14,2026-02-23,Feb-2026,Q1,8,493.0,0,165.8,145.0,145.0,0.0,348.0,70,401,855,No,0,100.0,420.5,32875.56,17.93,16.8,0.262,200.15
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV402582,Europe,Netherlands,Rotterdam,WH002,Rotterdam Regional DC,SKU1100,Pasta 500g,Grocery/FMCG,B,Summit Vendor Group,107.24,180.93,21,2026-02-23,Feb-2026,Q1,8,70.0,203,54.9,58.0,58.0,0.0,215.0,24,188,297,No,0,100.0,142.5,23056.6,21.16,25.9,0.195,57.31
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV402608,Europe,Netherlands,Rotterdam,WH002,Rotterdam Regional DC,SKU1101,Lip Balm (3-pack),Health & Beauty,B,Pioneer Import Export,118.52,175.42,30,2026-02-23,Feb-2026,Q1,8,719.0,0,141.2,155.0,155.0,0.0,564.0,111,716,1089,No,0,100.0,641.5,66845.28,12.56,25.5,0.211,308.51
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV402634,Europe,Netherlands,Rotterdam,WH002,Rotterdam Regional DC,SKU1102,Men's T-Shirt,Apparel,C,Pioneer Import Export,128.76,312.5,21,2026-02-23,Feb-2026,Q1,8,124.0,0,36.9,37.0,37.0,0.0,87.0,27,137,204,No,0,100.0,105.5,11202.12,18.24,16.5,0.23,60.08
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV402660,Europe,Netherlands,Rotterdam,WH002,Rotterdam Regional DC,SKU1103,Ceramic Mug Set,Home & Kitchen,C,Pioneer Import Export,30.9,72.01,7,2026-02-23,Feb-2026,Q1,8,92.0,0,36.0,28.0,28.0,0.0,64.0,27,62,142,No,0,100.0,78.0,1977.6,18.67,16.0,0.23,10.66
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV402686,Europe,Netherlands,Rotterdam,WH002,Rotterdam Regional DC,SKU1104,Honey Jar,Grocery/FMCG,C,Summit Vendor Group,74.81,129.26,7,2026-02-23,Feb-2026,Q1,8,41.0,66,30.2,36.0,36.0,0.0,71.0,28,58,109,No,0,100.0,56.0,5311.51,33.43,13.8,0.158,12.73
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV402712,Europe,Netherlands,Rotterdam,WH002,Rotterdam Regional DC,SKU1105,Face Moisturizer,Health & Beauty,B,Pioneer Import Export,8.84,15.03,7,2026-02-23,Feb-2026,Q1,8,62.0,164,75.2,72.0,72.0,0.0,154.0,45,120,234,No,0,100.0,108.0,1361.36,34.67,15.0,0.154,2.83
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV402738,Europe,Netherlands,Rotterdam,WH002,Rotterdam Regional DC,SKU1106,Cutting Board,Home & Kitchen,A,Apex Wholesale,25.35,61.5,7,2026-02-23,Feb-2026,Q1,8,434.0,575,244.8,202.0,202.0,0.0,807.0,202,446,1077,No,0,100.0,620.5,20457.45,16.93,28.0,0.206,62.31
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV402764,Europe,Netherlands,Rotterdam,WH002,Rotterdam Regional DC,SKU1107,Green Tea (Box),Grocery/FMCG,B,BlueOcean Distributors,84.16,136.65,21,2026-02-23,Feb-2026,Q1,8,237.0,413,104.2,89.0,89.0,0.0,561.0,86,398,693,No,0,100.0,399.0,47213.76,11.6,44.1,0.175,113.01
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV402790,Europe,Netherlands,Rotterdam,WH002,Rotterdam Regional DC,SKU1108,Bath Towel Set,Home & Kitchen,C,Global Source Partners,11.82,25.79,7,2026-02-23,Feb-2026,Q1,8,49.0,0,24.7,27.0,27.0,0.0,22.0,21,45,100,No,0,100.0,35.5,260.04,39.55,5.7,0.222,1.79
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV402816,Europe,Netherlands,Rotterdam,WH002,Rotterdam Regional DC,SKU1109,Running Shoes,Apparel,C,BlueOcean Distributors,128.72,310.56,10,2026-02-23,Feb-2026,Q1,8,21.0,86,31.1,37.0,37.0,0.0,70.0,15,59,118,No,0,100.0,45.5,9010.4,42.29,13.2,0.153,17.23
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV402842,Europe,Netherlands,Rotterdam,WH002,Rotterdam Regional DC,SKU1110,Wireless Mouse,Electronics,A,BlueOcean Distributors,66.32,135.58,14,2026-02-23,Feb-2026,Q1,8,0.0,0,259.6,197.0,0.0,197.0,0.0,160,679,1441,Yes,3,0.0,0.0,0.0,0.0,0.0,0.228,0.0
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV402868,Europe,Netherlands,Rotterdam,WH002,Rotterdam Regional DC,SKU1111,Non-stick Pan,Home & Kitchen,B,Meridian Trading Co.,54.18,88.46,10,2026-02-23,Feb-2026,Q1,8,58.0,142,59.2,47.0,47.0,0.0,153.0,29,113,224,No,0,100.0,105.5,8289.54,23.17,22.8,0.222,24.4
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV402894,Europe,Netherlands,Rotterdam,WH002,Rotterdam Regional DC,SKU1112,LED Desk Lamp,Home & Kitchen,A,BlueOcean Distributors,83.86,117.58,7,2026-02-23,Feb-2026,Q1,8,1316.0,0,442.5,539.0,539.0,0.0,777.0,210,652,1878,No,0,100.0,1046.5,65159.22,26.78,10.1,0.16,270.03
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV402920,Europe,Netherlands,Rotterdam,WH002,Rotterdam Regional DC,SKU1113,Granola Bars (Box),Grocery/FMCG,B,Vertex Sourcing Inc.,47.81,116.53,14,2026-02-23,Feb-2026,Q1,8,361.0,0,102.3,104.0,104.0,0.0,257.0,79,283,508,No,0,100.0,309.0,12287.17,17.5,17.3,0.264,75.0
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV402946,Europe,Netherlands,Rotterdam,WH002,Rotterdam Regional DC,SKU1114,Hand Sanitizer,Health & Beauty,B,Union Supply Chain Ltd.,10.11,22.72,30,2026-02-23,Feb-2026,Q1,8,723.0,0,141.4,120.0,120.0,0.0,603.0,129,734,1131,No,0,100.0,663.0,6096.33,9.41,35.2,0.204,26.3
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV402972,Europe,Netherlands,Rotterdam,WH002,Rotterdam Regional DC,SKU1115,Cutlery Set,Home & Kitchen,C,Global Source Partners,115.26,242.67,7,2026-02-23,Feb-2026,Q1,8,83.0,0,41.3,49.0,49.0,0.0,34.0,29,70,177,No,0,100.0,58.5,3918.84,43.56,4.9,0.28,36.31
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV402998,Europe,Netherlands,Rotterdam,WH002,Rotterdam Regional DC,SKU1116,Portable SSD,Electronics,A,Union Supply Chain Ltd.,82.12,137.14,7,2026-02-23,Feb-2026,Q1,8,291.0,485,241.5,207.0,207.0,0.0,569.0,120,361,840,No,0,100.0,430.0,46726.28,25.03,19.2,0.198,134.46
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV403024,Europe,Netherlands,Rotterdam,WH002,Rotterdam Regional DC,SKU1117,USB-C Charger,Electronics,A,Apex Wholesale,23.43,39.63,21,2026-02-23,Feb-2026,Q1,8,1679.0,0,462.2,534.0,534.0,0.0,1145.0,267,1653,2517,No,0,100.0,1412.0,26827.35,19.67,15.0,0.159,101.16
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV403050,Europe,Netherlands,Rotterdam,WH002,Rotterdam Regional DC,SKU1118,Electric Toothbrush,Health & Beauty,A,Summit Vendor Group,44.78,106.16,7,2026-02-23,Feb-2026,Q1,8,496.0,672,366.8,378.0,378.0,0.0,790.0,271,637,1251,No,0,100.0,643.0,35376.2,30.57,14.6,0.162,89.7
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV403076,Europe,Netherlands,Rotterdam,WH002,Rotterdam Regional DC,SKU1119,Hoodie,Apparel,C,Pioneer Import Export,57.42,87.77,7,2026-02-23,Feb-2026,Q1,8,79.0,0,36.7,41.0,41.0,0.0,38.0,18,54,111,No,0,100.0,58.5,2181.96,36.44,6.5,0.188,12.14
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV403102,Europe,Netherlands,Rotterdam,WH002,Rotterdam Regional DC,SKU1120,Door Mat,Home & Kitchen,C,BlueOcean Distributors,113.0,203.21,21,2026-02-23,Feb-2026,Q1,8,67.0,0,17.3,18.0,18.0,0.0,49.0,9,60,99,No,0,100.0,58.0,5537.0,16.14,19.1,0.159,20.04
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV403128,APAC,Singapore,Singapore,WH003,Singapore Regional DC,SKU1121,Rain Jacket,Apparel,B,Apex Wholesale,5.84,11.36,7,2026-02-23,Feb-2026,Q1,8,270.0,0,104.1,126.0,126.0,0.0,144.0,69,173,369,No,0,100.0,207.0,840.96,31.65,8.0,0.274,6.37
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV403154,APAC,Singapore,Singapore,WH003,Singapore Regional DC,SKU1122,Face Moisturizer,Health & Beauty,B,Apex Wholesale,141.51,240.35,7,2026-02-23,Feb-2026,Q1,8,217.0,0,80.0,70.0,70.0,0.0,147.0,50,130,290,No,0,100.0,182.0,20801.97,20.0,14.7,0.226,111.93
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV403180,APAC,Singapore,Singapore,WH003,Singapore Regional DC,SKU1123,Webcam,Electronics,A,Meridian Trading Co.,54.34,140.49,14,2026-02-23,Feb-2026,Q1,8,931.0,0,284.4,262.0,262.0,0.0,669.0,146,714,1523,No,0,100.0,800.0,36353.46,17.03,17.9,0.266,222.38
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV403206,APAC,Singapore,Singapore,WH003,Singapore Regional DC,SKU1124,Shampoo 400ml,Health & Beauty,B,Summit Vendor Group,91.92,234.56,14,2026-02-23,Feb-2026,Q1,8,526.0,0,129.8,130.0,130.0,0.0,396.0,82,341,692,No,0,100.0,461.0,36400.32,14.66,21.3,0.265,215.95
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV403232,APAC,Singapore,Singapore,WH003,Singapore Regional DC,SKU1125,Wireless Earbuds,Electronics,C,BlueOcean Distributors,135.54,265.46,30,2026-02-23,Feb-2026,Q1,8,48.0,0,12.2,11.0,11.0,0.0,37.0,5,57,91,No,0,100.0,42.5,5014.98,13.46,23.5,0.153,16.95
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV403258,APAC,Singapore,Singapore,WH003,Singapore Regional DC,SKU1126,Granola Bars (Box),Grocery/FMCG,C,Apex Wholesale,126.9,217.44,21,2026-02-23,Feb-2026,Q1,8,80.0,0,22.4,21.0,21.0,0.0,59.0,14,81,117,No,0,100.0,69.5,7487.1,15.71,19.7,0.246,41.72
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV403284,APAC,Singapore,Singapore,WH003,Singapore Regional DC,SKU1127,Instant Coffee Jar,Grocery/FMCG,C,Union Supply Chain Ltd.,44.48,98.61,7,2026-02-23,Feb-2026,Q1,8,48.0,0,24.3,25.0,25.0,0.0,23.0,11,35,105,No,0,100.0,35.5,1023.04,36.62,6.4,0.207,6.29
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV403310,APAC,Singapore,Singapore,WH003,Singapore Regional DC,SKU1128,Bluetooth Speaker,Electronics,B,Summit Vendor Group,72.16,116.08,21,2026-02-23,Feb-2026,Q1,8,0.0,0,52.4,43.0,0.0,43.0,0.0,47,204,355,Yes,4,0.0,0.0,0.0,0.0,0.0,0.222,0.0
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV403336,APAC,Singapore,Singapore,WH003,Singapore Regional DC,SKU1129,Wall Clock,Home & Kitchen,C,Meridian Trading Co.,82.97,211.72,7,2026-02-23,Feb-2026,Q1,8,18.0,40,16.8,13.0,13.0,0.0,45.0,14,30,62,No,0,100.0,31.5,3733.65,21.46,24.2,0.223,11.21
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV403362,APAC,Singapore,Singapore,WH003,Singapore Regional DC,SKU1130,Sparkling Water (Pack),Grocery/FMCG,C,Summit Vendor Group,50.07,72.4,14,2026-02-23,Feb-2026,Q1,8,35.0,0,25.4,31.0,31.0,0.0,4.0,11,61,125,No,0,100.0,19.5,200.28,82.67,0.9,0.195,3.66
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV403388,APAC,Singapore,Singapore,WH003,Singapore Regional DC,SKU1131,Peanut Butter Jar,Grocery/FMCG,A,Apex Wholesale,102.56,155.56,10,2026-02-23,Feb-2026,Q1,8,1091.0,0,477.1,541.0,541.0,0.0,550.0,285,966,2020,No,0,100.0,820.5,56408.0,34.29,7.1,0.165,267.02
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV403414,APAC,Singapore,Singapore,WH003,Singapore Regional DC,SKU1132,Body Lotion,Health & Beauty,B,Union Supply Chain Ltd.,58.58,126.47,7,2026-02-23,Feb-2026,Q1,8,321.0,0,149.9,165.0,165.0,0.0,156.0,111,260,681,No,0,100.0,238.5,9138.48,35.97,6.6,0.22,59.11
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV403440,APAC,Singapore,Singapore,WH003,Singapore Regional DC,SKU1133,Rice 5kg,Grocery/FMCG,C,Pioneer Import Export,83.21,202.84,14,2026-02-23,Feb-2026,Q1,8,0.0,228,47.5,57.0,57.0,0.0,171.0,45,139,268,No,0,100.0,85.5,14228.91,34.67,21.0,0.216,29.55
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV403466,APAC,Singapore,Singapore,WH003,Singapore Regional DC,SKU1134,Protein Powder,Grocery/FMCG,B,Meridian Trading Co.,4.51,9.61,7,2026-02-23,Feb-2026,Q1,8,216.0,0,84.8,79.0,79.0,0.0,137.0,62,146,398,No,0,100.0,176.5,617.87,23.27,12.1,0.273,4.18
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV403492,APAC,Singapore,Singapore,WH003,Singapore Regional DC,SKU1135,Women's Leggings,Apparel,C,Vertex Sourcing Inc.,59.43,139.83,30,2026-02-23,Feb-2026,Q1,8,22.0,0,19.4,18.0,18.0,0.0,4.0,10,93,145,No,0,100.0,13.0,237.72,72.0,1.6,0.176,2.61
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV403518,APAC,Singapore,Singapore,WH003,Singapore Regional DC,SKU1136,Ceramic Mug Set,Home & Kitchen,C,BlueOcean Distributors,81.94,187.56,21,2026-02-23,Feb-2026,Q1,8,80.0,0,37.3,43.0,43.0,0.0,37.0,17,128,203,No,0,100.0,58.5,3031.78,38.22,6.0,0.24,22.12
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV403544,APAC,Singapore,Singapore,WH003,Singapore Regional DC,SKU1137,Non-stick Pan,Home & Kitchen,A,Pioneer Import Export,138.06,208.44,10,2026-02-23,Feb-2026,Q1,8,0.0,704,161.0,183.0,183.0,0.0,521.0,125,355,724,No,0,100.0,260.5,71929.26,36.53,19.9,0.18,124.49
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV403570,APAC,Singapore,Singapore,WH003,Singapore Regional DC,SKU1138,Hoodie,Apparel,B,Vertex Sourcing Inc.,112.89,261.94,21,2026-02-23,Feb-2026,Q1,8,72.0,0,127.5,156.0,72.0,84.0,0.0,103,485,711,Yes,3,46.15,36.0,0.0,104.0,0.0,0.221,17.27
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV403596,APAC,Singapore,Singapore,WH003,Singapore Regional DC,SKU1139,Storage Containers (Set),Home & Kitchen,A,Union Supply Chain Ltd.,61.7,126.82,30,2026-02-23,Feb-2026,Q1,8,196.0,0,237.3,193.0,193.0,0.0,3.0,109,1125,1648,No,0,100.0,99.5,185.1,100.86,0.1,0.182,21.49
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV403622,APAC,Singapore,Singapore,WH003,Singapore Regional DC,SKU1140,Vitamin C Serum,Health & Beauty,A,Vertex Sourcing Inc.,2.67,5.58,7,2026-02-23,Feb-2026,Q1,8,474.0,570,347.7,269.0,269.0,0.0,775.0,176,523,1132,No,0,100.0,624.5,2069.25,22.4,20.2,0.15,4.81
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV403648,APAC,Singapore,Singapore,WH003,Singapore Regional DC,SKU1141,Cotton Socks (3-pack),Apparel,C,Meridian Trading Co.,5.42,9.09,7,2026-02-23,Feb-2026,Q1,8,66.0,0,23.9,30.0,30.0,0.0,36.0,22,45,87,No,0,100.0,51.0,195.12,30.59,8.4,0.275,1.46
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV403674,APAC,Singapore,Singapore,WH003,Singapore Regional DC,SKU1142,Honey Jar,Grocery/FMCG,C,Vertex Sourcing Inc.,80.56,159.24,14,2026-02-23,Feb-2026,Q1,8,22.0,25,10.9,12.0,12.0,0.0,35.0,8,29,49,No,0,100.0,28.5,2819.6,21.89,20.4,0.24,10.6
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV403700,APAC,Singapore,Singapore,WH003,Singapore Regional DC,SKU1143,Men's T-Shirt,Apparel,C,Summit Vendor Group,92.68,201.42,7,2026-02-23,Feb-2026,Q1,8,39.0,0,16.7,19.0,19.0,0.0,20.0,8,24,62,No,0,100.0,29.5,1853.6,33.49,7.4,0.17,8.94
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV403726,APAC,Singapore,Singapore,WH003,Singapore Regional DC,SKU1144,Pasta 500g,Grocery/FMCG,A,Global Source Partners,28.72,43.68,21,2026-02-23,Feb-2026,Q1,8,1036.0,1625,425.9,380.0,380.0,0.0,2281.0,201,1478,2693,No,0,100.0,1658.5,65510.32,11.91,42.0,0.223,204.27
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV403752,APAC,Singapore,Singapore,WH003,Singapore Regional DC,SKU1145,Baseball Cap,Apparel,B,Meridian Trading Co.,97.9,152.65,30,2026-02-23,Feb-2026,Q1,8,0.0,761,106.8,120.0,120.0,0.0,641.0,90,547,827,No,0,100.0,320.5,62753.9,19.47,37.4,0.154,92.92
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV403778,APAC,Singapore,Singapore,WH003,Singapore Regional DC,SKU1146,Trail Mix,Grocery/FMCG,B,Global Source Partners,83.11,158.21,21,2026-02-23,Feb-2026,Q1,8,367.0,259,109.3,100.0,100.0,0.0,526.0,63,390,641,No,0,100.0,446.5,43715.86,11.65,36.8,0.22,157.0
