Company,Record_ID,Year,Month_Name,Quarter,Business_Segment,Asset_Name,Asset_Type,Region,Customer_Segment,Gas_Volume_MMSCMD,Capacity_MMSCMD,Capacity_Utilization_Percent,Average_Price_USD_per_MMBTU,Revenue_INR_Lakh,Opex_INR_Lakh,EBITDA_INR_Lakh,EBITDA_Margin_Percent,Flaring_Loss_MMSCM,Pipeline_Length_KM,Number_of_Customers,Reserves_BCM,Wells_in_Operation,Lifting_Cost_USD_per_BOE
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700200,2024,Aug-2024,Q3,Exploration & Production,Cambay Basin Field,Onshore Field,Gujarat,N/A,3.46,4.83,71.64,7.46,24.74,11.95,12.79,51.7,0.058,0,0,18,15,5.73
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700201,2024,Sep-2024,Q3,Exploration & Production,Cambay Basin Field,Onshore Field,Gujarat,N/A,3.31,4.83,68.53,7.34,23.29,10.2,13.09,56.2,0.025,0,0,18,15,6.39
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700202,2024,Oct-2024,Q4,Exploration & Production,Cambay Basin Field,Onshore Field,Gujarat,N/A,3.39,4.83,70.19,6.84,22.23,8.44,13.79,62.03,0.038,0,0,18,15,7.62
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700203,2024,Nov-2024,Q4,Exploration & Production,Cambay Basin Field,Onshore Field,Gujarat,N/A,3.26,4.83,67.49,7.21,22.53,9.88,12.65,56.15,0.02,0,0,18,15,8.22
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700204,2024,Dec-2024,Q4,Exploration & Production,Cambay Basin Field,Onshore Field,Gujarat,N/A,3.42,4.83,70.81,6.06,19.87,9.81,10.06,50.63,0.032,0,0,18,15,4.58
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700205,2025,Jan-2025,Q1,Exploration & Production,Cambay Basin Field,Onshore Field,Gujarat,N/A,3.57,4.83,73.91,6.74,23.07,8.93,14.14,61.29,0.028,0,0,18,15,6.49
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700206,2025,Feb-2025,Q1,Exploration & Production,Cambay Basin Field,Onshore Field,Gujarat,N/A,3.77,4.83,78.05,7.22,26.09,9.98,16.11,61.75,0.07,0,0,18,16,3.89
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700207,2025,Mar-2025,Q1,Exploration & Production,Cambay Basin Field,Onshore Field,Gujarat,N/A,3.73,4.83,77.23,6.61,23.64,10.46,13.18,55.75,0.068,0,0,18,15,8.12
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700208,2025,Apr-2025,Q2,Exploration & Production,Cambay Basin Field,Onshore Field,Gujarat,N/A,3.43,4.83,71.01,6.45,21.21,8.94,12.27,57.85,0.053,0,0,18,15,7.05
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700209,2025,May-2025,Q2,Exploration & Production,Cambay Basin Field,Onshore Field,Gujarat,N/A,3.67,4.83,75.98,6.05,21.29,8.89,12.4,58.24,0.045,0,0,18,16,8.61
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700210,2025,Jun-2025,Q2,Exploration & Production,Cambay Basin Field,Onshore Field,Gujarat,N/A,3.42,4.83,70.81,7.1,23.28,8.95,14.33,61.55,0.025,0,0,18,15,7.01
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700211,2025,Jul-2025,Q3,Exploration & Production,Cambay Basin Field,Onshore Field,Gujarat,N/A,3.29,4.83,68.12,6.61,20.85,9.74,11.11,53.29,0.034,0,0,18,15,8.98
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700212,2025,Aug-2025,Q3,Exploration & Production,Cambay Basin Field,Onshore Field,Gujarat,N/A,3.14,4.83,65.01,7.1,21.37,10.19,11.18,52.32,0.027,0,0,18,15,7.16
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700213,2025,Sep-2025,Q3,Exploration & Production,Cambay Basin Field,Onshore Field,Gujarat,N/A,3.38,4.83,69.98,7.1,23.01,8.75,14.26,61.97,0.017,0,0,18,15,4.53
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700214,2025,Oct-2025,Q4,Exploration & Production,Cambay Basin Field,Onshore Field,Gujarat,N/A,3.21,4.83,66.46,7.04,21.66,10.65,11.01,50.83,0.054,0,0,18,16,9.05
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700215,2025,Nov-2025,Q4,Exploration & Production,Cambay Basin Field,Onshore Field,Gujarat,N/A,3.41,4.83,70.6,7.15,23.37,10.55,12.82,54.86,0.057,0,0,18,15,5.31
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700216,2025,Dec-2025,Q4,Exploration & Production,Cambay Basin Field,Onshore Field,Gujarat,N/A,3.18,4.83,65.84,7.29,22.22,10.29,11.93,53.69,0.039,0,0,18,15,6.5
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700217,2020,Jan-2020,Q1,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,3.53,4.14,85.27,7.5,25.38,8.92,16.46,64.85,0.05,0,0,14,12,5.99
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700218,2020,Feb-2020,Q1,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,3.88,4.14,93.72,7.07,26.3,11.77,14.53,55.25,0.035,0,0,14,13,6.13
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700219,2020,Mar-2020,Q1,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,3.48,4.14,84.06,7.02,23.42,9.53,13.89,59.31,0.068,0,0,14,12,6.75
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700220,2020,Apr-2020,Q2,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,3.63,4.14,87.68,6.07,21.12,9.16,11.96,56.63,0.035,0,0,14,12,5.57
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700221,2020,May-2020,Q2,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,3.51,4.14,84.78,6.31,21.23,9.49,11.74,55.3,0.069,0,0,14,12,4.43
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700222,2020,Jun-2020,Q2,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,3.54,4.14,85.51,7.17,24.33,10.82,13.51,55.53,0.045,0,0,14,12,4.74
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700223,2020,Jul-2020,Q3,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,3.48,4.14,84.06,7.48,24.95,12.21,12.74,51.06,0.056,0,0,14,12,9.23
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700224,2020,Aug-2020,Q3,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,3.32,4.14,80.19,7.03,22.37,9.99,12.38,55.34,0.024,0,0,14,12,6.15
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700225,2020,Sep-2020,Q3,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,3.59,4.14,86.71,6.43,22.13,8.36,13.77,62.22,0.048,0,0,14,12,8.67
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700226,2020,Oct-2020,Q4,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,3.45,4.14,83.33,7.4,24.47,9.63,14.84,60.65,0.023,0,0,14,12,7.03
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700227,2020,Nov-2020,Q4,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,3.43,4.14,82.85,6.26,20.58,7.54,13.04,63.36,0.039,0,0,14,12,5.21
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700228,2020,Dec-2020,Q4,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,3.3,4.14,79.71,7.48,23.66,9.32,14.34,60.61,0.022,0,0,14,12,6.84
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700229,2021,Jan-2021,Q1,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,3.41,4.14,82.37,7.48,24.45,8.87,15.58,63.72,0.043,0,0,14,12,4.83
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700230,2021,Feb-2021,Q1,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,3.39,4.14,81.88,6.56,21.32,8.24,13.08,61.35,0.061,0,0,14,12,8.28
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700231,2021,Mar-2021,Q1,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,3.39,4.14,81.88,6.07,19.73,7.36,12.37,62.7,0.063,0,0,14,12,8.25
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700232,2021,Apr-2021,Q2,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,3.39,4.14,81.88,7.4,24.05,11.26,12.79,53.18,0.029,0,0,14,12,6.98
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700233,2021,May-2021,Q2,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,3.53,4.14,85.27,6.62,22.4,9.99,12.41,55.4,0.019,0,0,14,13,4.78
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700234,2021,Jun-2021,Q2,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,3.35,4.14,80.92,6.1,19.59,8.76,10.83,55.28,0.035,0,0,14,13,6.16
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700235,2021,Jul-2021,Q3,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,3.49,4.14,84.3,7.19,24.06,9.63,14.43,59.98,0.07,0,0,14,12,7.59
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700236,2021,Aug-2021,Q3,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,3.28,4.14,79.23,7.1,22.33,10.58,11.75,52.62,0.031,0,0,14,12,8.05
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700237,2021,Sep-2021,Q3,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,3.29,4.14,79.47,7.16,22.58,8.7,13.88,61.47,0.019,0,0,14,12,6.6
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700238,2021,Oct-2021,Q4,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,3.25,4.14,78.5,6.63,20.66,9.22,11.44,55.37,0.055,0,0,14,12,7.95
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700239,2021,Nov-2021,Q4,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,3.37,4.14,81.4,7.16,23.13,11.45,11.68,50.5,0.035,0,0,14,12,9.04
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700240,2021,Dec-2021,Q4,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,3.49,4.14,84.3,7.09,23.72,11.06,12.66,53.37,0.044,0,0,14,13,9.44
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700241,2022,Jan-2022,Q1,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,3.31,4.14,79.95,6.86,21.77,8.89,12.88,59.16,0.05,0,0,14,12,7.83
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700242,2022,Feb-2022,Q1,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,3.35,4.14,80.92,7.12,22.87,11.03,11.84,51.77,0.028,0,0,14,12,6.11
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700243,2022,Mar-2022,Q1,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,3.57,4.14,86.23,6.39,21.87,10.38,11.49,52.54,0.036,0,0,14,13,5.99
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700244,2022,Apr-2022,Q2,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,3.33,4.14,80.43,6.2,19.79,9.73,10.06,50.83,0.045,0,0,14,13,5.79
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700245,2022,May-2022,Q2,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,3.45,4.14,83.33,6.25,20.67,9.16,11.51,55.68,0.045,0,0,14,12,7.03
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700246,2022,Jun-2022,Q2,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,3.29,4.14,79.47,7.4,23.34,8.96,14.38,61.61,0.026,0,0,14,12,6.23
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700247,2022,Jul-2022,Q3,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,3.14,4.14,75.85,6.57,19.78,7.54,12.24,61.88,0.021,0,0,14,12,8.15
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700248,2022,Aug-2022,Q3,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,3.06,4.14,73.91,6.45,18.92,8.75,10.17,53.75,0.033,0,0,14,13,3.88
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700249,2022,Sep-2022,Q3,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,3.08,4.14,74.4,6.58,19.43,8.07,11.36,58.47,0.043,0,0,14,12,7.89
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700250,2022,Oct-2022,Q4,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,3.24,4.14,78.26,6.91,21.46,8.5,12.96,60.39,0.02,0,0,14,12,5.91
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700251,2022,Nov-2022,Q4,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,3.13,4.14,75.6,6.04,18.12,6.97,11.15,61.53,0.044,0,0,14,12,4.37
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700252,2022,Dec-2022,Q4,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,3.18,4.14,76.81,6.27,19.11,7.74,11.37,59.5,0.062,0,0,14,12,5.7
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700253,2023,Jan-2023,Q1,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,3.26,4.14,78.74,6.36,19.88,7.38,12.5,62.88,0.059,0,0,14,12,4.72
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700254,2023,Feb-2023,Q1,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,3.36,4.14,81.16,7.32,23.58,10.53,13.05,55.34,0.022,0,0,14,12,6.95
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700255,2023,Mar-2023,Q1,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,3.32,4.14,80.19,7.16,22.79,10.7,12.09,53.05,0.022,0,0,14,13,4.09
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700256,2023,Apr-2023,Q2,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,3.17,4.14,76.57,6.9,20.97,9.2,11.77,56.13,0.041,0,0,14,12,6.35
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700257,2023,May-2023,Q2,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,3.41,4.14,82.37,7.49,24.48,11.27,13.21,53.96,0.038,0,0,14,12,6.09
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700258,2023,Jun-2023,Q2,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,3.32,4.14,80.19,6.27,19.96,8.32,11.64,58.32,0.019,0,0,14,12,6.22
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700259,2023,Jul-2023,Q3,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,3.12,4.14,75.36,6.32,18.9,8.66,10.24,54.18,0.046,0,0,14,12,8.26
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700260,2023,Aug-2023,Q3,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,3.05,4.14,73.67,6.95,20.32,8.79,11.53,56.74,0.057,0,0,14,12,8.74
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700261,2023,Sep-2023,Q3,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,3.09,4.14,74.64,7.06,20.91,9.41,11.5,55.0,0.027,0,0,14,13,6.79
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700262,2023,Oct-2023,Q4,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,3.08,4.14,74.4,6.23,18.39,8.49,9.9,53.83,0.025,0,0,14,12,5.8
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700263,2023,Nov-2023,Q4,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,2.98,4.14,71.98,7.28,20.8,10.24,10.56,50.77,0.054,0,0,14,12,7.12
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700264,2023,Dec-2023,Q4,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,3.08,4.14,74.4,6.12,18.07,8.89,9.18,50.8,0.035,0,0,14,12,3.94
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700265,2024,Jan-2024,Q1,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,3.02,4.14,72.95,6.84,19.8,8.96,10.84,54.75,0.037,0,0,14,12,7.52
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700266,2024,Feb-2024,Q1,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,3.16,4.14,76.33,6.53,19.78,8.02,11.76,59.45,0.052,0,0,14,12,8.28
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700267,2024,Mar-2024,Q1,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,3.32,4.14,80.19,6.12,19.48,7.67,11.81,60.63,0.03,0,0,14,13,8.89
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700268,2024,Apr-2024,Q2,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,3.17,4.14,76.57,7.01,21.3,8.94,12.36,58.03,0.018,0,0,14,12,7.99
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700269,2024,May-2024,Q2,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,3.26,4.14,78.74,6.3,19.69,9.78,9.91,50.33,0.052,0,0,14,13,4.11
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700270,2024,Jun-2024,Q2,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,3.19,4.14,77.05,6.33,19.36,8.49,10.87,56.15,0.052,0,0,14,12,6.82
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700271,2024,Jul-2024,Q3,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,3.13,4.14,75.6,7.07,21.21,9.32,11.89,56.06,0.039,0,0,14,13,5.06
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700272,2024,Aug-2024,Q3,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,3.03,4.14,73.19,6.54,19.0,6.84,12.16,64.0,0.017,0,0,14,12,5.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700273,2024,Sep-2024,Q3,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,2.91,4.14,70.29,7.08,19.75,9.82,9.93,50.28,0.022,0,0,14,13,7.1
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700274,2024,Oct-2024,Q4,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,2.9,4.14,70.05,6.77,18.82,8.69,10.13,53.83,0.05,0,0,14,12,5.85
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700275,2024,Nov-2024,Q4,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,2.83,4.14,68.36,7.01,19.02,7.06,11.96,62.88,0.054,0,0,14,12,3.71
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700276,2024,Dec-2024,Q4,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,3.05,4.14,73.67,7.04,20.58,9.83,10.75,52.24,0.052,0,0,14,13,4.95
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700277,2025,Jan-2025,Q1,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,2.9,4.14,70.05,7.36,20.46,10.09,10.37,50.68,0.046,0,0,14,12,7.73
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700278,2025,Feb-2025,Q1,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,3.21,4.14,77.54,6.92,21.29,8.02,13.27,62.33,0.043,0,0,14,12,9.46
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700279,2025,Mar-2025,Q1,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,3.16,4.14,76.33,6.07,18.39,8.88,9.51,51.71,0.024,0,0,14,13,4.55
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700280,2025,Apr-2025,Q2,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,3.11,4.14,75.12,6.16,18.37,9.1,9.27,50.46,0.052,0,0,14,12,9.42
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700281,2025,May-2025,Q2,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,3.06,4.14,73.91,6.17,18.1,6.52,11.58,63.98,0.052,0,0,14,12,5.8
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700282,2025,Jun-2025,Q2,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,3.05,4.14,73.67,6.21,18.16,8.54,9.62,52.97,0.04,0,0,14,12,4.46
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700283,2025,Jul-2025,Q3,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,2.93,4.14,70.77,6.39,17.95,6.79,11.16,62.17,0.04,0,0,14,13,5.33
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700284,2025,Aug-2025,Q3,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,2.98,4.14,71.98,6.81,19.45,7.25,12.2,62.72,0.028,0,0,14,13,8.05
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700285,2025,Sep-2025,Q3,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,2.85,4.14,68.84,7.48,20.44,8.78,11.66,57.05,0.018,0,0,14,12,7.14
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700286,2025,Oct-2025,Q4,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,2.85,4.14,68.84,7.06,19.29,8.0,11.29,58.53,0.038,0,0,14,12,7.3
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700287,2025,Nov-2025,Q4,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,2.87,4.14,69.32,6.32,17.39,8.09,9.3,53.48,0.031,0,0,14,13,3.98
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700288,2025,Dec-2025,Q4,Exploration & Production,Assam Gas Field,Onshore Field,Assam,N/A,2.91,4.14,70.29,6.28,17.52,8.49,9.03,51.54,0.019,0,0,14,12,9.04
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700289,2020,Jan-2020,Q1,Exploration & Production,Rajasthan Block RJ-1,Onshore Field,Rajasthan,N/A,2.74,3.22,85.09,6.15,16.15,8.05,8.1,50.15,0.028,0,0,10,10,3.75
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700290,2020,Feb-2020,Q1,Exploration & Production,Rajasthan Block RJ-1,Onshore Field,Rajasthan,N/A,2.81,3.22,87.27,6.48,17.46,6.24,11.22,64.26,0.046,0,0,10,9,9.08
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700291,2020,Mar-2020,Q1,Exploration & Production,Rajasthan Block RJ-1,Onshore Field,Rajasthan,N/A,2.94,3.22,91.3,7.02,19.79,7.53,12.26,61.95,0.053,0,0,10,10,8.41
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700292,2020,Apr-2020,Q2,Exploration & Production,Rajasthan Block RJ-1,Onshore Field,Rajasthan,N/A,2.92,3.22,90.68,6.36,17.8,6.63,11.17,62.75,0.02,0,0,10,10,6.01
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700293,2020,May-2020,Q2,Exploration & Production,Rajasthan Block RJ-1,Onshore Field,Rajasthan,N/A,2.83,3.22,87.89,6.64,18.01,6.59,11.42,63.41,0.027,0,0,10,9,6.5
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700294,2020,Jun-2020,Q2,Exploration & Production,Rajasthan Block RJ-1,Onshore Field,Rajasthan,N/A,2.62,3.22,81.37,7.4,18.59,8.07,10.52,56.59,0.044,0,0,10,9,9.01
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700295,2020,Jul-2020,Q3,Exploration & Production,Rajasthan Block RJ-1,Onshore Field,Rajasthan,N/A,2.78,3.22,86.34,7.41,19.75,7.6,12.15,61.52,0.031,0,0,10,9,6.02
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700296,2020,Aug-2020,Q3,Exploration & Production,Rajasthan Block RJ-1,Onshore Field,Rajasthan,N/A,2.62,3.22,81.37,6.57,16.5,6.91,9.59,58.12,0.036,0,0,10,9,4.28
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700297,2020,Sep-2020,Q3,Exploration & Production,Rajasthan Block RJ-1,Onshore Field,Rajasthan,N/A,2.77,3.22,86.02,7.12,18.91,6.84,12.07,63.83,0.024,0,0,10,9,7.86
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700298,2020,Oct-2020,Q4,Exploration & Production,Rajasthan Block RJ-1,Onshore Field,Rajasthan,N/A,2.61,3.22,81.06,7.4,18.52,7.29,11.23,60.64,0.041,0,0,10,10,8.19
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700299,2020,Nov-2020,Q4,Exploration & Production,Rajasthan Block RJ-1,Onshore Field,Rajasthan,N/A,2.64,3.22,81.99,7.41,18.75,8.13,10.62,56.64,0.02,0,0,10,9,7.49
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700300,2020,Dec-2020,Q4,Exploration & Production,Rajasthan Block RJ-1,Onshore Field,Rajasthan,N/A,2.71,3.22,84.16,6.16,16.0,6.73,9.27,57.94,0.014,0,0,10,10,4.88
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700301,2021,Jan-2021,Q1,Exploration & Production,Rajasthan Block RJ-1,Onshore Field,Rajasthan,N/A,2.79,3.22,86.65,7.05,18.86,6.9,11.96,63.41,0.024,0,0,10,9,9.03
